Country,Leader,Term start date,Term end date,Nth term,Term duration in days
Argentina,Carlos Saul Menem,08/07/1989,10/12/1999,1,3807
Argentina,Cristina Fernandez De Kirchner,10/12/2007,10/12/2015,1,2922
Argentina,Eduardo Duhalde,21/12/2001,23/12/2001,1,2
Argentina,Fernando De La Rua,10/12/1999,21/12/2001,1,742
Argentina,Maria Estela Martinez De Peron,01/07/1974,29/03/1976,1,637
Argentina,Mauricio Macri,10/12/2015,10/12/2019,1,1461
Argentina,Nestor Kirchner,25/05/2003,10/12/2007,1,1660
Argentina,Raul Alfonsin,10/12/1983,08/07/1989,1,2037
Australia,E. Gough Whitlam,05/12/1972,18/05/1974,1,529
Australia,E. Gough Whitlam,18/05/1974,11/11/1975,2,542
Australia,John Howard,11/03/1996,03/10/1998,1,936
Australia,John Howard,03/10/1998,10/11/2001,2,1134
Australia,John Howard,10/11/2001,09/10/2004,3,1064
Australia,John Howard,09/10/2004,03/12/2007,4,1150
Australia,John Malcolm Fraser,11/11/1975,10/12/1977,1,760
Australia,John Malcolm Fraser,10/12/1977,18/10/1980,2,1043
Australia,John Malcolm Fraser,18/10/1980,11/03/1983,3,874
Australia,Julia Gillard,24/06/2010,27/06/2013,1,1099
Australia,Kevin Michael Rudd,03/12/2007,24/06/2010,1,934
Australia,Kevin Michael Rudd,27/06/2013,18/09/2013,1,83
Australia,Malcolm Bligh Turnbull,15/09/2015,02/07/2016,1,291
Australia,Malcolm Bligh Turnbull,02/07/2016,24/08/2018,2,783
Australia,Paul Keating,19/12/1991,13/03/1993,1,450
Australia,Paul Keating,13/03/1993,11/03/1996,2,1094
Australia,Robert Hawke,11/03/1983,01/12/1984,1,631
Australia,Robert Hawke,01/12/1984,11/07/1987,2,952
Australia,Robert Hawke,11/07/1987,24/03/1990,3,987
Australia,Robert Hawke,24/03/1990,19/12/1991,4,635
Australia,Scott John Morrison,24/08/2018,18/05/2019,1,267
Australia,Scott John Morrison,18/05/2019,23/05/2022,2,1101
Australia,Tony Abbot,18/09/2013,15/09/2015,1,727
Australia,William Mcmahon,10/03/1971,05/12/1972,1,636
Austria,Alfred Gusenbauer,11/01/2007,02/12/2008,1,691
Austria,Bruno Kreisky,20/04/1970,10/10/1971,1,538
Austria,Bruno Kreisky,10/10/1971,05/10/1975,2,1456
Austria,Bruno Kreisky,05/10/1975,06/05/1979,3,1309
