country,political_system,leader,start_date,end_date,country_iso3
Argentina,presidential,Maria Estela Martinez De Peron,1974-07-01,1976-03-29,ARG
Argentina,presidential,Raul Alfonsin,1983-12-10,1989-07-08,ARG
Argentina,presidential,Carlos Saul Menem,1989-07-08,1999-12-10,ARG
Argentina,presidential,Fernando De La Rua,1999-12-10,2001-12-21,ARG
Argentina,presidential,Eduardo Duhalde,2001-12-21,2001-12-23,ARG
Argentina,presidential,Nestor Kirchner,2003-05-25,2007-12-10,ARG
Argentina,presidential,Cristina Fernandez De Kirchner,2007-12-10,2015-12-10,ARG
Argentina,presidential,Mauricio Macri,2015-12-10,2019-12-10,ARG
Australia,parliamentary,William Mcmahon,1971-03-10,1972-12-05,AUS
Australia,parliamentary,E. Gough Whitlam,1972-12-05,1975-11-11,AUS
Australia,parliamentary,John Malcolm Fraser,1975-11-11,1983-03-11,AUS
Australia,parliamentary,Robert Hawke,1983-03-11,1991-12-19,AUS
Australia,parliamentary,Paul Keating,1991-12-19,1996-03-11,AUS
Australia,parliamentary,John Howard,1996-03-11,2007-12-03,AUS
Australia,parliamentary,Kevin Michael Rudd,2007-12-03,2010-06-24,AUS
Australia,parliamentary,Julia Gillard,2010-06-24,2013-06-27,AUS
Australia,parliamentary,Kevin Michael Rudd,2013-06-27,2013-09-18,AUS
Australia,parliamentary,Tony Abbot,2013-09-18,2015-09-15,AUS
Australia,parliamentary,Malcolm Bligh Turnbull,2015-09-15,2018-08-24,AUS
Australia,parliamentary,Scott John Morrison,2018-08-24,2022-05-23,AUS
Austria,parliamentary,Bruno Kreisky,1970-04-20,1983-05-24,AUT
Austria,parliamentary,Fred Sinowatz,1983-05-24,1986-06-16,AUT
Austria,parliamentary,Franz Vranitzky,1986-06-16,1997-01-28,AUT
Austria,parliamentary,Viktor Klima,1997-01-28,2000-02-04,AUT
Austria,parliamentary,Wolfgang Schuessel,2000-02-05,2007-01-11,AUT
Austria,parliamentary,Alfred Gusenbauer,2007-01-11,2008-12-02,AUT
Austria,parliamentary,Werner Faymann,2008-12-02,2015-12-31,AUT
Austria,parliamentary,Christian Kern,2016-05-17,2017-12-18,AUT
Austria,parliamentary,Sebastian Kurz,2017-12-18,2019-05-28,AUT
Belgium,parliamentary,Gaston Eyskens,1968-06-17,1973-01-26,BEL
Belgium,parliamentary,Edmond Leburton,1973-01-26,1974-04-24,BEL
Belgium,parliamentary,Leo Tindemans,1974-04-25,1978-10-20,BEL
Belgium,parliamentary,Wilfried Martens,1979-04-03,1981-04-06,BEL
Belgium,parliamentary,Marc Eyskens,1981-04-06,1981-12-17,BEL
Belgium,parliamentary,Wilfried Martens,1981-12-17,1992-03-07,BEL
Belgium,parliamentary,Jean-Luc Dehaene,1992-03-07,1999-07-12,BEL
Belgium,parliamentary,Guy Verhofstadt,1999-07-12,2008-03-20,BEL
Belgium,parliamentary,Elio Di Rupo,2011-12-06,2014-10-11,BEL
Belgium,parliamentary,Charles Yvon Michel,2014-10-11,2019-10-27,BEL
Bulgaria,parliamentary,Petur Toshev Mladenov,1989-11-10,1990-07-06,BGR
Bulgaria,parliamentary,Filip Dimitrov,1991-11-08,1992-12-30,BGR
Bulgaria,parliamentary,Zhan Videnov,1995-01-25,1997-02-13,BGR
Bulgaria,parliamentary,Ivan Kostov,1997-05-21,2001-07-21,BGR
Bulgaria,parliamentary,Simeon Saxe-Coburg-Gotha,2001-07-24,2005-08-16,BGR
Bulgaria,parliamentary,Sergei Stanishev,2005-08-16,2009-07-27,BGR
Bulgaria,parliamentary,Boyko Borisov,2009-07-27,2013-03-13,BGR
Bulgaria,parliamentary,Boyko Borisov,2014-11-07,2017-01-27,BGR
Bulgaria,parliamentary,Boyko Borisov,2017-05-04,2021-05-12,BGR
Bolivia,presidential,Hernan Siles Zuazo,1982-10-10,1985-08-06,BOL
Bolivia,presidential,Victor Paz Estenssoro,1985-08-06,1989-08-06,BOL
Bolivia,presidential,Jaime Paz Zamora,1989-08-06,1993-08-06,BOL
Bolivia,presidential,Gonzalo Sanchez De Lozada Bustamante,1993-08-06,1997-08-06,BOL
Bolivia,presidential,Hugo Banzer Suarez,1997-08-06,2001-08-07,BOL
Bolivia,presidential,Jorge Fernando Quiroga Ramirez,2001-08-07,2002-08-06,BOL
Bolivia,presidential,Gonzalo Sanchez De Lozada Bustamante,2002-08-08,2003-10-17,BOL
Bolivia,presidential,Carlos Diego Mesa Gisbert,2003-10-17,2005-06-09,BOL
Bolivia,presidential,Juan Evo Morales Ayma,2006-01-22,2019-11-10,BOL
Brazil,presidential,Emilio Garrastazu Medici,1969-10-25,1974-03-15,BRA
Brazil,presidential,Ernesto Geisel,1974-03-15,1979-03-15,BRA
Brazil,presidential,Joao Baptista De Oliveira Figueiredo,1979-03-15,1985-03-21,BRA
Brazil,presidential,Jose Sarney Costa,1985-03-21,1990-03-15,BRA
Brazil,presidential,Itamar Franco,1992-10-02,1994-12-31,BRA
Brazil,presidential,Fernando Henrique Cardoso,1995-01-01,2003-01-01,BRA
