iso3c,term_start
ALB,1991-03-31
ALB,1992-03-22
ALB,1996-05-26
ALB,1997-06-29
ALB,2001-06-24
ALB,2005-07-03
ALB,2009-06-28
ALB,2013-06-23
ALB,2017-06-25
ALB,2021-04-25
ARM,1995-07-05
ARM,1999-05-30
ARM,2003-05-25
ARM,2007-05-12
ARM,2012-05-06
ARM,2017-04-02
ARM,2018-12-09
ARM,2021-06-20
AUT,1945-10-25
AUT,1949-10-09
AUT,1953-02-22
AUT,1956-05-13
AUT,1959-05-10
AUT,1962-11-18
AUT,1966-03-06
AUT,1970-03-01
AUT,1971-10-10
AUT,1975-10-05
AUT,1979-05-06
AUT,1983-04-24
AUT,1986-11-23
AUT,1990-10-07
AUT,1994-10-09
AUT,1995-12-17
AUT,1999-10-03
AUT,2002-11-24
AUT,2006-10-01
AUT,2008-09-28
AUT,2013-09-29
AUT,2017-10-15
AUT,2019-09-29
AUS,1943-08-21
AUS,1946-09-28
AUS,1949-12-10
AUS,1951-04-28
AUS,1954-05-29
AUS,1955-12-10
AUS,1958-11-22
AUS,1961-12-09
AUS,1963-11-30
AUS,1966-11-26
AUS,1969-10-25
AUS,1972-12-02
AUS,1974-05-18
AUS,1975-12-13
AUS,1977-12-10
AUS,1980-10-18
AUS,1983-03-05
AUS,1984-12-01
AUS,1987-07-11
AUS,1990-03-24
AUS,1993-03-13
AUS,1996-03-02
AUS,1998-10-03
AUS,2001-11-10
AUS,2004-10-09
AUS,2007-11-24
AUS,2010-08-21
AUS,2013-09-07
AUS,2016-07-02
AUS,2019-05-18
AUS,2022-05-21
AZE,1995-11-12
AZE,2000-11-05
AZE,2005-11-06
AZE,2010-11-07
AZE,2015-11-01
AZE,2020-02-09
BRB,1986-05-28
BRB,1991-01-22
BRB,1994-09-06
BRB,1999-01-20
BRB,2003-05-21
BRB,2008-01-15
BRB,2013-02-21
BRB,2018-04-25
BRB,2022-01-19
BEL,1946-02-17
BEL,1949-06-29
BEL,1950-06-04
BEL,1954-04-11
BEL,1958-06-01
BEL,1961-03-26
BEL,1965-05-23
BEL,1968-03-31
BEL,1971-11-07
BEL,1974-03-10
BEL,1977-04-17
BEL,1978-12-17
BEL,1981-11-08
BEL,1985-10-13
BEL,1987-12-13
BEL,1991-11-24
BEL,1995-05-21
BEL,1999-06-13
BEL,2003-05-18
BEL,2007-06-10
BEL,2010-06-13
BEL,2014-05-25
BEL,2019-05-26
BGR,1990-06-10
BGR,1991-10-13
BGR,1994-12-18
BGR,1997-04-19
BGR,2001-06-18
BGR,2005-06-25
BGR,2009-07-05
BGR,2013-05-12
BGR,2014-10-05
BGR,2017-03-26
BGR,2021-04-04
BGR,2021-07-11
BGR,2021-11-14
BGR,2022-10-02
BGR,2023-04-02
BOL,1989-05-07
BOL,1993-06-06
BOL,1997-06-01
BOL,2002-06-30
BOL,2005-12-18
BOL,2009-12-06
BOL,2014-10-12
BOL,2019-10-20
BOL,2020-10-18
BRA,1990-10-03
BRA,1994-10-03
BRA,1998-10-04
BRA,2002-10-06
BRA,2006-10-01
BRA,2010-10-03
BRA,2014-10-05
BRA,2018-10-07
BRA,2022-10-02
BHS,1987-06-19
BHS,1992-08-19
BHS,1997-03-14
BHS,2002-05-02
BHS,2007-05-02
BHS,2012-05-07
BHS,2017-05-10
BHS,2021-09-16
CAN,1945-06-11
CAN,1949-06-27
CAN,1953-08-10
CAN,1957-06-10
CAN,1958-03-31
CAN,1962-06-18
CAN,1963-04-08
CAN,1965-11-08
CAN,1968-06-25
CAN,1972-10-30
CAN,1974-07-08
CAN,1979-05-22
CAN,1980-02-18
CAN,1984-09-04
CAN,1988-11-21
CAN,1993-10-25
CAN,1997-06-02
CAN,2000-11-27
CAN,2004-06-28
CAN,2006-01-23
CAN,2008-10-14
CAN,2011-05-02
CAN,2015-10-19
CAN,2019-10-21
CAN,2021-09-20
CHE,1943-10-31
CHE,1947-10-26
CHE,1951-10-28
CHE,1955-10-30
CHE,1959-10-25
CHE,1963-10-27
CHE,1967-10-29
CHE,1971-10-31
CHE,1975-10-26
CHE,1979-10-21
CHE,1983-10-23
CHE,1987-10-18
CHE,1991-10-20
CHE,1995-10-22
CHE,1999-10-24
CHE,2003-10-19
CHE,2007-10-21
CHE,2011-10-23
CHE,2015-10-18
CHE,2019-10-20
CHE,2023-10-22
CHL,1989-12-14
CHL,1993-12-11
CHL,1997-12-11
CHL,2001-12-16
CHL,2005-12-11
CHL,2009-12-13
CHL,2013-11-17
CHL,2017-11-19
CHL,2021-11-21
COL,1990-03-11
COL,1991-10-27
COL,1994-03-13
COL,1998-03-08
COL,2002-03-10
COL,2006-03-12
COL,2010-03-14
COL,2014-03-09
COL,2018-03-11
COL,2022-03-13
CRI,1990-02-04
CRI,1994-02-06
CRI,1998-02-01
CRI,2002-02-03
CRI,2006-02-05
CRI,2010-02-07
CRI,2014-02-02
CRI,2018-02-04
CRI,2022-02-06
CYP,1976-09-05
CYP,1981-05-24
CYP,1985-12-08
CYP,1991-05-19
CYP,1996-05-26
CYP,2001-05-27
CYP,2006-05-21
CYP,2011-05-22
CYP,2016-05-22
CYP,2021-05-30
CZE,1990-06-09
CZE,1992-06-06
CZE,1996-05-31
CZE,1998-06-19
CZE,2002-06-14
