iso3c,term_start
ARM,1997-01-01
ARM,1998-04-09
ARM,2003-04-09
ARM,2008-04-09
ARM,2013-04-09
AUT,1951-06-21
AUT,1957-05-22
AUT,1963-05-22
AUT,1965-06-09
AUT,1971-06-09
AUT,1974-07-08
AUT,1980-05-20
AUT,1986-07-08
AUT,1992-07-08
AUT,1998-07-08
AUT,2004-07-08
AUT,2010-07-08
AUT,2017-01-26
AUT,2023-01-26
AZE,1992-06-16
AZE,1993-10-10
AZE,1998-10-18
AZE,2003-10-31
AZE,2008-10-31
AZE,2013-10-22
AZE,2018-04-18
BGR,1992-01-19
BGR,1997-01-22
BGR,2002-01-19
BGR,2007-01-19
BGR,2012-01-22
BGR,2017-01-22
BGR,2022-01-22
BOL,1989-08-06
BOL,1993-08-06
BOL,1997-08-06
BOL,2002-08-06
BOL,2006-01-22
BOL,2010-01-22
BOL,2015-01-22
BOL,2019-11-12
BOL,2020-11-08
BRA,1990-03-15
BRA,1995-01-01
BRA,1999-01-01
BRA,2003-01-01
BRA,2007-01-01
BRA,2011-01-01
BRA,2015-01-01
BRA,2019-01-01
BRA,2023-01-01
CHL,1990-03-11
CHL,1994-03-11
CHL,2000-03-11
CHL,2006-03-11
CHL,2010-03-11
CHL,2014-03-11
CHL,2018-03-11
CHL,2022-03-11
COL,1990-08-07
COL,1994-08-07
COL,1998-08-07
COL,2002-08-07
COL,2006-08-07
COL,2010-08-07
COL,2014-08-07
COL,2018-08-07
COL,2022-08-07
CRI,1990-05-08
CRI,1994-05-08
CRI,1998-05-08
CRI,2002-05-08
CRI,2006-05-08
CRI,2010-05-08
CRI,2014-05-08
CRI,2018-05-08
CRI,2022-05-08
CYP,1960-08-14
CYP,1968-03-25
CYP,1973-02-18
CYP,1978-01-26
CYP,1983-02-28
CYP,1988-02-28
CYP,1993-02-28
CYP,1998-02-28
CYP,2003-02-28
CYP,2008-02-28
CYP,2013-03-01
CYP,2018-03-01
CYP,2023-02-28
CZE,2013-03-08
CZE,2018-03-09
CZE,2023-03-09
DOM,1990-08-16
DOM,1994-08-16
DOM,1996-08-16
DOM,2000-08-16
DOM,2004-08-16
DOM,2008-08-16
DOM,2012-08-16
DOM,2016-08-16
DOM,2020-08-16
FIN,1994-03-01
FIN,2000-03-01
FIN,2006-03-01
FIN,2012-03-01
FIN,2018-02-01
FRA,1966-01-08
FRA,1969-04-28
FRA,1969-06-20
FRA,1974-05-27
FRA,1981-05-21
FRA,1988-05-08
FRA,1995-05-17
FRA,2002-05-05
FRA,2007-05-16
FRA,2012-05-16
FRA,2017-05-14
FRA,2022-05-07
GEO,1995-11-26
GEO,2000-04-30
GEO,2004-01-25
GEO,2008-01-20
GEO,2013-11-21
GEO,2018-12-16
GHA,1993-01-07
GHA,1997-01-07
GHA,2001-01-07
GHA,2005-01-07
GHA,2009-01-07
GHA,2013-01-07
GHA,2017-01-07
GHA,2021-01-07
GTM,1986-01-14
GTM,1991-01-14
GTM,1993-06-05
